"","predictor_name","lan","lan"
"1","aamc1","37.772","-122.3"
"2","dpxc1","38.056","-122.264"
"3","ftpc1","37.806","122.466"
"4","lndc1","37.795","122.281"
"5","obxc1","37.804","-122.341"
"6","okxc1","37.811","122.333"
"7","omhc1","37.801","122.33"
"8","pcoc1","38.056","122.039"
"9","ppxc1","37.906","122.365"
"10","psbc1","38.04","121.887"
"11","pxoc1","37.798","122.393"
"12","pxsc1","37.803","122.397"
"13","rcmc1","37.923","122.41"
"14","rtyc1","37.507","122.212"
"15","tibc1","37.892","122.447"
"16","upbc1","38.038","122.121"
